IQ-TREE multicore version 2.1.3 COVID-edition for Mac OS X 64-bit built Oct  4 2021
Developed by Bui Quang Minh, James Barbetti, Nguyen Lam Tung,
Olga Chernomor, Heiko Schmidt, Dominik Schrempf, Michael Woodhams.
ERROR: Sequence Aphanomyces_euteiches|Sar_Oomycota_Saprolegniaceae|KAF0731980.1 contains not enough characters (178)
ERROR: Sequence Aphanomyces_euteiches|Sar_Oomycota_Saprolegniaceae|KAF0744753.1 contains too many characters (191)
ERROR: Sequence Aphanomyces_invadans|Sar_Oomycota_Saprolegniaceae|RHY26633.1 contains not enough characters (153)
ERROR: Sequence Aphanomyces_invadans|Sar_Oomycota_Saprolegniaceae|XP_008865542.1 contains too many characters (189)
ERROR: Sequence Aphanomyces_stellatus|Sar_Oomycota_Saprolegniaceae|KAF0694852.1 contains not enough characters (154)
ERROR: Sequence Aphanomyces_stellatus|Sar_Oomycota_Saprolegniaceae|KAF0699610.1 contains too many characters (196)
ERROR: Sequence Apiotrichum_porosum|Opisthokonta_Basidiomycota_Trichosporonaceae|XP_028480286.1|OUTGROUP contains too many characters (193)
ERROR: Sequence Aplosporella_prunicola|Opisthokonta_Ascomycota_Aplosporellaceae|XP_033396367.1|OUTGROUP contains not enough characters (151)
ERROR: Sequence Archocentrus_centrarchus|Opisthokonta_Chordata_Cichlidae|XP_030581232.1|OUTGROUP contains not enough characters (176)
ERROR: Sequence Archocentrus_centrarchus|Opisthokonta_Chordata_Cichlidae|XP_030595210.1|OUTGROUP contains not enough characters (145)
ERROR: Sequence Arthroderma_uncinatum|Opisthokonta_Ascomycota_Arthrodermataceae|XP_033409516.1|OUTGROUP contains too many characters (193)
ERROR: Sequence Ascochyta_rabiei|Opisthokonta_Ascomycota_Didymellaceae|XP_038799627.1|OUTGROUP contains too many characters (193)
ERROR: Sequence Ascoidea_rubescens|Opisthokonta_Arthropoda|XP_020048298.1|OUTGROUP contains too many characters (191)
ERROR: Sequence Aspergillus_aculeatinus|Opisthokonta_Ascomycota_Aspergillaceae|XP_025498053.1|OUTGROUP contains not enough characters (177)
ERROR: Sequence Aspergillus_aculeatinus|Opisthokonta_Ascomycota_Aspergillaceae|XP_025498204.1|OUTGROUP contains not enough characters (174)
ERROR: Sequence Aspergillus_aculeatinus|Opisthokonta_Ascomycota_Aspergillaceae|XP_025502633.1|OUTGROUP contains too many characters (187)
ERROR: Sequence Aspergillus_aculeatus|Opisthokonta_Ascomycota_Aspergillaceae|XP_020052340.1|OUTGROUP contains too many characters (193)
ERROR: Sequence Aspergillus_aculeatus|Opisthokonta_Ascomycota_Aspergillaceae|XP_020054706.1|OUTGROUP contains not enough characters (151)
ERROR: Sequence Aspergillus_affinis|Opisthokonta_Ascomycota_Aspergillaceae|XP_052951595.1|OUTGROUP contains not enough characters (139)
ERROR: Sequence Aspergillus_affinis|Opisthokonta_Ascomycota_Aspergillaceae|XP_052951748.1|OUTGROUP contains too many characters (186)
ERROR: Sequence Aspergillus_affinis|Opisthokonta_Ascomycota_Aspergillaceae|XP_052951972.1|OUTGROUP contains not enough characters (176)
ERROR: Sequence Aspergillus_affinis|Opisthokonta_Ascomycota_Aspergillaceae|XP_052959453.1|OUTGROUP contains too many characters (191)
ERROR: Sequence Aspergillus_alliaceus|Opisthokonta_Ascomycota_Aspergillaceae|XP_031904032.1|OUTGROUP contains too many characters (194)
ERROR: Sequence Aspergillus_bombycis|Opisthokonta_Ascomycota_Aspergillaceae|XP_022383812.1|OUTGROUP contains not enough characters (175)
ERROR: Sequence Aspergillus_bombycis|Opisthokonta_Ascomycota_Aspergillaceae|XP_022388491.1|OUTGROUP contains not enough characters (168)
ERROR: Sequence Aspergillus_chevalieri|Opisthokonta_Ascomycota_Aspergillaceae|XP_043139216.1|OUTGROUP contains too many characters (193)
ERROR: Sequence Aspergillus_clavatus|Opisthokonta_Ascomycota_Aspergillaceae|XP_001271812.1|OUTGROUP contains not enough characters (175)
ERROR: Sequence Aspergillus_eucalypticola|Opisthokonta_Ascomycota_Aspergillaceae|XP_025384611.1|OUTGROUP contains not enough characters (145)
ERROR: Sequence Aspergillus_eucalypticola|Opisthokonta_Ascomycota_Aspergillaceae|XP_025390233.1|OUTGROUP contains too many characters (194)
ERROR: Sequence Aspergillus_fischeri|Opisthokonta_Ascomycota_Aspergillaceae|XP_001267104.1|OUTGROUP contains not enough characters (175)
ERROR: Sequence Aspergillus_glaucus|Opisthokonta_Ascomycota_Aspergillaceae|XP_022403427.1|OUTGROUP contains not enough characters (181)
ERROR: Sequence Aspergillus_glaucus|Opisthokonta_Ascomycota_Aspergillaceae|XP_022405426.1|OUTGROUP contains too many characters (193)
ERROR: Sequence Aspergillus_heteromorphus|Opisthokonta_Ascomycota_Aspergillaceae|XP_025400512.1|OUTGROUP contains not enough characters (178)
ERROR: Sequence Aspergillus_homomorphus|Opisthokonta_Ascomycota_Aspergillaceae|XP_025546180.1|OUTGROUP contains not enough characters (152)
ERROR: Sequence Aspergillus_ibericus|Opisthokonta_Ascomycota_Aspergillaceae|XP_025571297.1|OUTGROUP contains too many characters (191)
ERROR: Sequence Aspergillus_japonicus|Opisthokonta_Ascomycota_Aspergillaceae|XP_025522510.1|OUTGROUP contains too many characters (199)
ERROR: Sequence Aspergillus_lentulus|Opisthokonta_Ascomycota_Aspergillaceae|XP_033414802.1|OUTGROUP contains too many characters (193)
ERROR: Sequence Aspergillus_luchuensis|Opisthokonta_Ascomycota_Aspergillaceae|XP_041544148.1|OUTGROUP contains not enough characters (146)
ERROR: Sequence Aspergillus_melleus|Opisthokonta_Ascomycota_Aspergillaceae|XP_045939275.1|OUTGROUP contains too many characters (191)
ERROR: Sequence Aspergillus_melleus|Opisthokonta_Ascomycota_Aspergillaceae|XP_045944828.1|OUTGROUP contains not enough characters (173)
ERROR: Sequence Aspergillus_mulundensis|Opisthokonta_Ascomycota_Aspergillaceae|XP_026600203.1|OUTGROUP contains too many characters (193)
ERROR: Sequence Aspergillus_neoniger|Opisthokonta_Ascomycota_Aspergillaceae|XP_025475908.1|OUTGROUP contains not enough characters (147)
ERROR: Sequence Aspergillus_nidulans|Opisthokonta_Ascomycota_Aspergillaceae|XP_659218.1|OUTGROUP contains not enough characters (178)
ERROR: Sequence Aspergillus_nomiae|Opisthokonta_Ascomycota_Aspergillaceae|XP_015401848.1|OUTGROUP contains not enough characters (167)
ERROR: Sequence Aspergillus_nomiae|Opisthokonta_Ascomycota_Aspergillaceae|XP_015407106.1|OUTGROUP contains not enough characters (166)
ERROR: Sequence Aspergillus_nomiae|Opisthokonta_Ascomycota_Aspergillaceae|XP_015411607.1|OUTGROUP contains too many characters (195)
ERROR: Sequence Aspergillus_novofumigatus|Opisthokonta_Ascomycota_Aspergillaceae|XP_024678574.1|OUTGROUP contains not enough characters (164)
ERROR: Sequence Aspergillus_ochraceoroseus|Opisthokonta_Ascomycota_Aspergillaceae|XP_040751683.1|OUTGROUP contains too many characters (193)
ERROR: Sequence Aspergillus_ochraceoroseus|Opisthokonta_Ascomycota_Aspergillaceae|XP_040755554.1|OUTGROUP contains not enough characters (177)
ERROR: Sequence Aspergillus_oryzae|Opisthokonta_Ascomycota_Aspergillaceae|XP_001727872.1|OUTGROUP contains too many characters (190)
ERROR: Sequence Aspergillus_oryzae|Opisthokonta_Ascomycota_Aspergillaceae|XP_001825825.3|OUTGROUP contains not enough characters (168)
ERROR: Sequence Aspergillus_pseudonomiae|Opisthokonta_Ascomycota_Aspergillaceae|XP_031945787.1|OUTGROUP contains too many characters (184)
ERROR: Sequence Aspergillus_pseudotamarii|Opisthokonta_Ascomycota_Aspergillaceae|XP_031916776.1|OUTGROUP contains not enough characters (175)
ERROR: Sequence Aspergillus_pseudotamarii|Opisthokonta_Ascomycota_Aspergillaceae|XP_031919767.1|OUTGROUP contains not enough characters (172)
ERROR: Sequence Aspergillus_pseudotamarii|Opisthokonta_Ascomycota_Aspergillaceae|XP_031919907.1|OUTGROUP contains too many characters (194)
ERROR: Sequence Aspergillus_puulaauensis|Opisthokonta_Ascomycota_Aspergillaceae|XP_041562637.1|OUTGROUP contains too many characters (191)
ERROR: Sequence Aspergillus_saccharolyticus|Opisthokonta_Ascomycota_Aspergillaceae|XP_025426463.1|OUTGROUP contains not enough characters (175)
ERROR: Sequence Aspergillus_saccharolyticus|Opisthokonta_Ascomycota_Aspergillaceae|XP_025433131.1|OUTGROUP contains not enough characters (153)
ERROR: Sequence Aspergillus_sclerotioniger|Opisthokonta_Ascomycota_Aspergillaceae|XP_025470204.1|OUTGROUP contains not enough characters (178)
ERROR: Sequence Aspergillus_steynii|Opisthokonta_Ascomycota_Aspergillaceae|XP_024707329.1|OUTGROUP contains too many characters (192)
ERROR: Sequence Aspergillus_steynii|Opisthokonta_Ascomycota_Aspergillaceae|XP_024708340.1|OUTGROUP contains too many characters (188)
ERROR: Sequence Aspergillus_steynii|Opisthokonta_Ascomycota_Aspergillaceae|XP_024709990.1|OUTGROUP contains not enough characters (176)
ERROR: Sequence Aspergillus_sydowii|Opisthokonta_Ascomycota_Aspergillaceae|XP_040704789.1|OUTGROUP contains too many characters (196)
ERROR: Sequence Aspergillus_tanneri|Opisthokonta_Ascomycota_Aspergillaceae|XP_033429496.1|OUTGROUP contains too many characters (194)
ERROR: Sequence Aspergillus_terreus|Opisthokonta_Ascomycota_Aspergillaceae|XP_001214456.1|OUTGROUP contains not enough characters (180)
ERROR: Sequence Aspergillus_thermomutatus|Opisthokonta_Ascomycota_Aspergillaceae|XP_026615133.1|OUTGROUP contains not enough characters (176)
ERROR: Sequence Aspergillus_tubingensis|Opisthokonta_Ascomycota_Aspergillaceae|XP_035361636.1|OUTGROUP contains not enough characters (143)
ERROR: Sequence Aspergillus_udagawae|Opisthokonta_Ascomycota_Aspergillaceae|XP_043145937.1|OUTGROUP contains too many characters (183)
ERROR: Sequence Aspergillus_uvarum|Opisthokonta_Ascomycota_Aspergillaceae|XP_025488431.1|OUTGROUP contains too many characters (199)
ERROR: Sequence Aspergillus_uvarum|Opisthokonta_Ascomycota_Aspergillaceae|XP_025489633.1|OUTGROUP contains not enough characters (176)
ERROR: Sequence Aspergillus_uvarum|Opisthokonta_Ascomycota_Aspergillaceae|XP_025489784.1|OUTGROUP contains not enough characters (176)
ERROR: Sequence Aspergillus_vadensis|Opisthokonta_Ascomycota_Aspergillaceae|XP_025562508.1|OUTGROUP contains not enough characters (144)
ERROR: Sequence Aspergillus_versicolor|Opisthokonta_Ascomycota_Aspergillaceae|XP_040672524.1|OUTGROUP contains too many characters (190)
ERROR: Sequence Aspergillus_viridinutans|Opisthokonta_Ascomycota_Aspergillaceae|XP_043126633.1|OUTGROUP contains not enough characters (175)
ERROR: Sequence Aspergillus_viridinutans|Opisthokonta_Ascomycota_Aspergillaceae|XP_043130989.1|OUTGROUP contains too many characters (194)
ERROR: Sequence Aspergillus_wentii|Opisthokonta_Ascomycota_Aspergillaceae|XP_040686281.1|OUTGROUP contains not enough characters (153)
ERROR: Sequence Astatotilapia_calliptera|Opisthokonta_Chordata_Cichlidae|XP_026006136.1|OUTGROUP contains not enough characters (177)
ERROR: Sequence Asterias_rubens|Opisthokonta_Echinodermata_Asteriidae|XP_033625909.1|OUTGROUP contains not enough characters (150)
ERROR: Sequence Aureobasidium_namibiae|Opisthokonta_Ascomycota_Saccotheciaceae|XP_013430232.1|OUTGROUP contains too many characters (196)
ERROR: Sequence Aureobasidium_pullulans|Opisthokonta_Ascomycota_Saccotheciaceae|XP_029761618.1|OUTGROUP contains too many characters (196)
ERROR: Sequence Aureococcus_anophagefferens|Sar_Pelagophyceae|KAH8046089.1 contains not enough characters (180)
ERROR: Sequence Aureococcus_anophagefferens|Sar_Pelagophyceae|KAH8048342.1 contains too many characters (189)
ERROR: Sequence Aureococcus_anophagefferens|Sar_Pelagophyceae|KAH8049760.1 contains too many characters (195)
ERROR: Sequence Aureococcus_anophagefferens|Sar_Pelagophyceae|KAH8052042.1 contains too many characters (186)
ERROR: Sequence Aureococcus_anophagefferens|Sar_Pelagophyceae|KAH8054010.1 contains too many characters (200)
ERROR: Sequence Aureococcus_anophagefferens|Sar_Pelagophyceae|KAH8055145.1 contains too many characters (187)
ERROR: Sequence Aureococcus_anophagefferens|Sar_Pelagophyceae|KAH8068016.1 contains too many characters (191)
ERROR: Sequence Aureococcus_anophagefferens|Sar_Pelagophyceae|KAH8092430.1 contains not enough characters (156)
ERROR: Sequence Aureococcus_anophagefferens|Sar_Pelagophyceae|XP_009035163.1 contains not enough characters (160)
ERROR: Sequence Aureococcus_anophagefferens|Sar_Pelagophyceae|XP_009042098.1 contains too many characters (183)
ERROR: Sequence Babesia_microti_strain|Sar_Apicomplexa_Babesiidae|XP_012647265.1 contains too many characters (185)
ERROR: Sequence Bactrocera_oleae|Opisthokonta_Arthropoda_Tephritidae|XP_014098438.1|OUTGROUP contains not enough characters (179)
ERROR: Sequence Beauveria_bassiana|Opisthokonta_Ascomycota_Cordycipitaceae|XP_008596803.1|OUTGROUP contains too many characters (193)
ERROR: Sequence Beauveria_bassiana|Opisthokonta_Ascomycota_Cordycipitaceae|XP_008602869.1|OUTGROUP contains too many characters (202)
ERROR: Sequence Betta_splendens|Opisthokonta_Chordata_Osphronemidae|XP_029021153.1|OUTGROUP contains not enough characters (159)
ERROR: Sequence Bigelowiella_longifila|Sar_Cercozoa|HBMK01004336.1.p1 contains too many characters (188)
ERROR: Sequence Bigelowiella_longifila|Sar_Cercozoa|HBMK01011025.1.p1 contains not enough characters (178)
ERROR: Sequence Bigelowiella_longifila|Sar_Cercozoa|HBMK01014751.1.p1 contains too many characters (191)
ERROR: Sequence Bigelowiella_longifila|Sar_Cercozoa|HBMK01028249.1.p1 contains too many characters (183)
ERROR: Sequence Bigelowiella_natans|Sar_Cercozoa|HBHA01001299.1.p1 contains too many characters (191)
ERROR: Sequence Bigelowiella_natans|Sar_Cercozoa|HBJQ01000711.1.p1 contains too many characters (187)
ERROR: Sequence Bigelowiella_natans|Sar_Cercozoa|HBML01021267.1.p1 contains not enough characters (171)
ERROR: Sequence Bigelowiella_natans|Sar_Cercozoa|HBQC01066236.1.p1 contains not enough characters (173)
ERROR: Sequence Bigelowiella_natans|Sar_Cercozoa|HBQC01078723.1.p1 contains not enough characters (177)
ERROR: Sequence Bigelowiella_natans|Sar_Cercozoa|HBQC01110119.1.p1 contains not enough characters (166)
ERROR: Sequence Bigelowiella_natans|Sar_Cercozoa|HBQC01114387.1.p1 contains not enough characters (178)
ERROR: Sequence Bigelowiella_sp.|Sar_Cercozoa|HBQJ01077567.1.p1 contains too many characters (191)
ERROR: Sequence Biomphalaria_glabrata|Opisthokonta_Mollusca_Planorbidae|XP_055892751.1|OUTGROUP contains not enough characters (148)
ERROR: Sequence Bipolaris_maydis|Opisthokonta_Ascomycota_Pleosporaceae|XP_014073642.1|OUTGROUP contains too many characters (193)
ERROR: Sequence Bipolaris_oryzae|Opisthokonta_Ascomycota_Pleosporaceae|XP_007686124.1|OUTGROUP contains too many characters (192)
ERROR: Sequence Blastomyces_gilchristii|Opisthokonta_Ascomycota_Ajellomycetaceae|XP_002620901.1|OUTGROUP contains too many characters (193)
ERROR: Sequence Blepharisma_stoltei|Sar_Ciliophora_Blepharismidae|CAG9317448.1 contains too many characters (184)
ERROR: Sequence Blepharisma_stoltei|Sar_Ciliophora_Blepharismidae|CAG9322248.1 contains not enough characters (180)
ERROR: Sequence Blepharisma_stoltei|Sar_Ciliophora_Blepharismidae|CAG9323369.1 contains too many characters (183)
ERROR: Sequence Boleophthalmus_pectinirostris|Opisthokonta_Chordata_Gobiidae|XP_020779174.1|OUTGROUP contains not enough characters (141)
ERROR: Sequence Boleophthalmus_pectinirostris|Opisthokonta_Chordata_Gobiidae|XP_020785688.1|OUTGROUP contains too many characters (185)
ERROR: Sequence Bolivina_costata|Sar_Foraminifera_Bolivinitidae|GIHC01030424.1.p1 contains too many characters (185)
ERROR: Sequence Bolivina_costata|Sar_Foraminifera_Bolivinitidae|GIHC01030863.1.p1 contains too many characters (188)
ERROR: Sequence Bolivina_costata|Sar_Foraminifera_Bolivinitidae|GIHC01042574.1.p1 contains too many characters (188)
ERROR: Sequence Bolivina_costata|Sar_Foraminifera_Bolivinitidae|GIHC01091939.1.p1 contains too many characters (191)
ERROR: Sequence Bolivina_costata|Sar_Foraminifera_Bolivinitidae|GIHC01123689.1.p1 contains too many characters (191)
ERROR: Sequence Bolivina_costata|Sar_Foraminifera_Bolivinitidae|GIHC01163809.1.p1 contains not enough characters (176)
ERROR: Sequence Bolivina_costata|Sar_Foraminifera_Bolivinitidae|GIHC01242746.1.p1 contains not enough characters (170)
ERROR: Sequence Bolivina_costata|Sar_Foraminifera_Bolivinitidae|GIHC01294602.1.p1 contains too many characters (189)
ERROR: Sequence Bolivina_costata|Sar_Foraminifera_Bolivinitidae|GIHC01311586.1.p1 contains too many characters (202)
ERROR: Sequence Bolivina_costata|Sar_Foraminifera_Bolivinitidae|GIHC01348792.1.p1 contains too many characters (188)
ERROR: Sequence Bolivina_costata|Sar_Foraminifera_Bolivinitidae|GIHC01393175.1.p2 contains too many characters (191)
ERROR: Sequence Bolivina_costata|Sar_Foraminifera_Bolivinitidae|GIHC01416205.1.p1 contains too many characters (184)
ERROR: Sequence Bolivina_costata|Sar_Foraminifera_Bolivinitidae|GIHC01462108.1.p1 contains too many characters (183)
ERROR: Sequence Bolivina_costata|Sar_Foraminifera_Bolivinitidae|GIHC01471452.1.p1 contains not enough characters (146)
ERROR: Sequence Bolivina_costata|Sar_Foraminifera_Bolivinitidae|GIHC01500865.1.p1 contains too many characters (193)
ERROR: Sequence Bolivina_plicata|Sar_Foraminifera_Bolivinitidae|GIHF01029767.1.p1 contains not enough characters (174)
ERROR: Sequence Bolivina_plicata|Sar_Foraminifera_Bolivinitidae|GIHF01081039.1.p1 contains too many characters (188)
ERROR: Sequence Bolivina_plicata|Sar_Foraminifera_Bolivinitidae|GIHF01236722.1.p1 contains too many characters (187)
ERROR: Sequence Bolivina_plicata|Sar_Foraminifera_Bolivinitidae|GIHF01277855.1.p1 contains too many characters (186)
ERROR: Sequence Bolivina_plicata|Sar_Foraminifera_Bolivinitidae|GIHF01348493.1.p1 contains too many characters (183)
ERROR: Sequence Bolivina_plicata|Sar_Foraminifera_Bolivinitidae|GIHF01372089.1.p2 contains too many characters (198)
ERROR: Sequence Bolivina_spissa|Sar_Foraminifera_Bolivinitidae|GIHD01023849.1.p1 contains not enough characters (178)
ERROR: Sequence Bolivina_spissa|Sar_Foraminifera_Bolivinitidae|GIHD01054559.1.p1 contains too many characters (183)
ERROR: Sequence Bolivina_spissa|Sar_Foraminifera_Bolivinitidae|GIHD01067732.1.p1 contains not enough characters (166)
ERROR: Sequence Bolivina_spissa|Sar_Foraminifera_Bolivinitidae|GIHD01074595.1.p1 contains too many characters (188)
ERROR: Sequence Bolivina_spissa|Sar_Foraminifera_Bolivinitidae|GIHD01156726.1.p1 contains too many characters (188)
ERROR: Sequence Bolivina_spissa|Sar_Foraminifera_Bolivinitidae|GIHD01157688.1.p1 contains too many characters (190)
ERROR: Sequence Bolivina_spissa|Sar_Foraminifera_Bolivinitidae|GIHD01161315.1.p2 contains too many characters (186)
ERROR: Sequence Bolivina_spissa|Sar_Foraminifera_Bolivinitidae|GIHD01214028.1.p1 contains too many characters (190)
ERROR: Sequence Bolivina_spissa|Sar_Foraminifera_Bolivinitidae|GIHD01252381.1.p1 contains too many characters (187)
ERROR: Sequence Bolivina_spissa|Sar_Foraminifera_Bolivinitidae|GIHD01345841.1.p1 contains too many characters (184)
ERROR: Sequence Bolivina_spissa|Sar_Foraminifera_Bolivinitidae|GIHD01384938.1.p1 contains too many characters (184)
ERROR: Sequence Bolivina_spissa|Sar_Foraminifera_Bolivinitidae|GIHD01397043.1.p1 contains not enough characters (179)
ERROR: Sequence Bolivina_spissa|Sar_Foraminifera_Bolivinitidae|GIHD01452154.1.p1 contains not enough characters (180)
ERROR: Sequence Bolivina_spissa|Sar_Foraminifera_Bolivinitidae|GIHD01472149.1.p1 contains not enough characters (173)
ERROR: Sequence Bolivina_spissa|Sar_Foraminifera_Bolivinitidae|GIHD01501692.1.p1 contains not enough characters (175)
ERROR: Sequence Bolivina_spissa|Sar_Foraminifera_Bolivinitidae|GIHD01590527.1.p1 contains too many characters (190)
ERROR: Sequence Bolivina_spissa|Sar_Foraminifera_Bolivinitidae|GIHD01598668.1.p1 contains too many characters (185)
ERROR: Sequence Bolivinella_seminuda|Sar_Foraminifera_Bolivinellidae|GIHE01145066.1.p1 contains too many characters (184)
ERROR: Sequence Bolivinella_seminuda|Sar_Foraminifera_Bolivinellidae|GIHE01222663.1.p1 contains too many characters (198)
ERROR: Sequence Bolivinella_seminuda|Sar_Foraminifera_Bolivinellidae|GIHE01243895.1.p2 contains too many characters (192)
ERROR: Sequence Bolivinella_seminuda|Sar_Foraminifera_Bolivinellidae|GIHE01251539.1.p1 contains too many characters (186)
ERROR: Sequence Bombina_bombina|Opisthokonta_Chordata_Bombinatoridae|XP_053576004.1|OUTGROUP contains not enough characters (146)
ERROR: Sequence Botrytis_deweyae|Opisthokonta_Ascomycota_Sclerotiniaceae|XP_038809945.1|OUTGROUP contains not enough characters (178)
ERROR: Sequence Botrytis_porri|Opisthokonta_Ascomycota_Sclerotiniaceae|XP_038770169.1|OUTGROUP contains too many characters (198)
ERROR: Sequence Botrytis_porri|Opisthokonta_Ascomycota_Sclerotiniaceae|XP_038770170.1|OUTGROUP contains too many characters (183)
